"","(Intercept)","dayFriday","dayMonday","daySaturday","dayThursday","dayTuesday","dayWednesday","bank_holiday1","days_since_lockdown"
"Bath and North East Somerset",-45.3506944804801,-15.386306713023,-16.7986101741823,3.40410115371976,-15.9876965388407,-16.8082023074395,-16.1771160898067,-28.0823646930621,0.137434487053085
"Bedford",-22.8825852316952,-24.4559709753861,-27.0694506425891,-3.97328455537681,-26.5198536661305,-26.7867642225797,-25.9574756110217,-36.3589720305122,0.160048777956515
"Blackburn with Darwen",-22.7765900403023,-20.4640720945115,-20.3419922854721,-4.37402660301315,-21.4554131423728,-21.5186134606403,-20.5870133015065,-39.2597166727207,0.15930673032017
"Blackpool",-34.3023403040838,-6.96983723384012,-7.67248542715307,0.211993842215422,-8.43068514002041,-7.95732101776417,-7.20233641222559,-34.0926262259354,0.145327175548752
"Borough of Halton",-24.3350786155363,-21.8567251310258,-22.0379559960563,-4.53958971165652,-22.6187691349696,-22.7208205766869,-21.3989615224949,-36.336814384308,0.127076955010119
"Bracknell Forest",-33.7113624963243,-25.5756300486049,-27.8712417622334,4.60964834898725,-27.1710549530382,-28.0192966979745,-26.7951758255063,-31.0760988013077,0.142981682320585
"Brighton and Hove",-41.2215833809004,-20.0879248611903,-22.0388320965873,-1.50525314375659,-21.9824260979364,-22.7228270458201,-21.5026265718782,-25.838721394842,0.161413522910072
"Bristol City",-31.5058793005033,-27.6961764655007,-29.3638048535797,-1.82190164841817,-29.1323716119212,-29.5561967031636,-28.4067841575424,-25.2144024700327,0.111431684915157
"Buckinghamshire",-34.2451749606489,-23.6930197360454,-25.0087843564596,1.43858820680472,-24.6842353795859,-25.6105097469427,-24.4682058965976,-34.4470577551762,0.171921540138031
"Cambridgeshire",-31.9970560254614,-24.8201062044868,-26.5432100046702,-0.581187622161087,-25.01022953315,-26.6376247556778,-24.8655938110805,-33.13403559753,0.152145711172227
"Central Bedfordshire",-25.2841315966997,-25.8829735526611,-27.995911819141,-2.45124280006227,-28.2870617335201,-28.8308477332088,-27.3381214000311,-38.2926807119506,0.14875719993773
